document,index,form,posTag,nerLabel,head,depLabel
0,1,Chiều,N,O,15,tmp
0,2,17/6,M,O,1,det
0,3,",",CH,O,15,punct
0,4,sau,E,O,15,tmp
0,5,một,M,O,6,det
0,6,ngày,N,O,4,pob
0,7,xét_xử,V,O,6,nmod
0,8,và,Cc,O,7,coord
0,9,nghị_án,V,O,8,conj
0,10,",",CH,O,15,punct
0,11,TAND,Ny,B-ORG,15,sub
0,12,TP.,Ny,I-ORG,11,nmod
0,13,HCM,Np,I-ORG,12,nmod
0,14,đã,R,O,15,adv
0,15,tuyên_án,V,O,0,root
0,16,đối_với,E,O,15,vmod
0,17,bị_cáo,N,O,16,pob
0,18,Trần_Ngọc_Phúc,Np,B-PER,17,nmod
0,19,(,CH,O,15,punct
0,20,tức,E,O,15,vmod
0,21,Phúc_XO,Np,O,20,pob
0,22,),CH,O,15,punct
0,23,và,Cc,O,15,coord
0,24,11,M,O,25,det
0,25,đồng_phạm,N,O,23,conj
0,26,về,E,O,25,nmod
0,27,tội,N,O,26,pob
0,28,Chứa_chấp,V,O,27,nmod
0,29,việc,N,O,28,dob
0,30,sử_dụng,V,O,29,nmod
0,31,trái_phép,A,O,30,vmod
0,32,chất,N,O,30,dob
0,33,m.a,N,O,32,nmod
0,34,t.ú.y,N,O,32,nmod
0,35,;,CH,O,15,punct
0,36,Tàng_trữ,N,O,32,nmod
0,37,trái_phép,A,O,15,dep
0,38,chất,N,O,37,amod
0,39,m.a,N,O,38,nmod
0,40,t.ú.y,A,O,38,nmod
0,41,và,Cc,O,15,coord
0,42,Không,R,O,43,adv
0,43,tố_giác,V,O,41,conj
0,44,tội_phạm,N,O,43,dob
0,45,.,CH,O,15,punct
1,1,COCOMI,Ny,O,4,sub
1,2,hiện,N,O,4,tmp
1,3,đang,R,O,4,adv
1,4,có_mặt,V,O,0,root
1,5,tại,E,O,4,loc
1,6,Singapore,Np,B-LOC,5,pob
1,7,",",CH,O,6,punct
1,8,Malaysia,Np,B-LOC,6,nmod
1,9,và,Cc,O,6,coord
1,10,Australia,Np,B-LOC,9,conj
1,11,.,CH,O,4,punct
1,1,Với,E,O,11,pmod
1,2,sự,Nc,O,1,pob
1,3,giúp_đỡ,V,O,2,nmod
1,4,từ_tổ_chức,N,O,2,nmod
1,5,hỗ_trợ,V,O,2,nmod
1,6,doanh_nghiệp,N,O,2,nmod
1,7,Enterprise_Singapore,Np,B-PER,6,nmod
1,8,",",CH,O,11,punct
1,9,Cocomi.vn,Np,O,2,nmod
1,10,sẽ,R,O,11,adv
1,11,là,V,O,0,root
1,12,bước_tiến,N,O,11,dob
1,13,tiếp_theo,V,O,12,nmod
1,14,trong,E,O,12,nmod
1,15,chiến_lược,N,O,14,pob
1,16,phát_triển,V,O,15,nmod
1,17,của,E,O,15,nmod
1,18,tập_đoàn,N,O,17,pob
1,19,Norbreeze,Np,B-ORG,18,nmod
1,20,",",CH,O,11,punct
1,21,hướng,V,O,11,vmod
1,22,tới,E,O,21,dir
1,23,cung_cấp,V,O,22,vmod
1,24,trải_nghiệm,V,O,23,vmod
1,25,mua_sắm,V,O,24,vmod
1,26,tập_trung,V,O,21,vmod
1,27,cho,E,O,26,iob
1,28,khách_hàng,N,O,27,pob
1,29,tại,E,O,26,loc
1,30,Việt_Nam,Np,B-LOC,29,pob
