document,index,form,posTag,nerLabel,head,depLabel
0,1,chiều,N,O,15,tmp
0,6,ngày,N,O,4,pob
0,7,xét_xử,V,O,6,nmod
0,9,nghị_án,V,O,8,conj
0,11,tand,Ny,B-ORG,15,sub
0,12,tp,Ny,I-ORG,11,nmod
0,13,hcm,Np,I-ORG,12,nmod
0,15,tuyên_án,V,O,0,root
0,17,bị_cáo,N,O,16,pob
0,18,trần_ngọc_phúc,Np,B-PER,17,nmod
0,21,phúc_xo,Np,O,20,pob
0,25,đồng_phạm,N,O,23,conj
0,27,tội,N,O,26,pob
0,28,chứa_chấp,V,O,27,nmod
0,29,việc,N,O,28,dob
0,30,sử_dụng,V,O,29,nmod
0,31,trái_phép,A,O,30,vmod
0,32,chất,N,O,30,dob
0,33,ma,N,O,32,nmod
0,34,túy,N,O,32,nmod
0,36,tàng_trữ,N,O,32,nmod
0,37,trái_phép,A,O,15,dep
0,38,chất,N,O,37,amod
0,39,ma,N,O,38,nmod
0,40,túy,A,O,38,nmod
0,43,tố_giác,V,O,41,conj
0,44,tội_phạm,N,O,43,dob
1,3,giúp_đỡ,V,O,2,nmod
1,4,từ_tổ_chức,N,O,2,nmod
1,5,hỗ_trợ,V,O,2,nmod
1,6,doanh_nghiệp,N,O,2,nmod
1,7,enterprise_singapore,Np,B-PER,6,nmod
1,9,cocomivn,Np,O,2,nmod
1,11,là,V,O,0,root
1,12,bước_tiến,N,O,11,dob
1,13,tiếp_theo,V,O,12,nmod
1,15,chiến_lược,N,O,14,pob
1,16,phát_triển,V,O,15,nmod
1,18,tập_đoàn,N,O,17,pob
1,19,norbreeze,Np,B-ORG,18,nmod
1,21,hướng,V,O,11,vmod
1,23,cung_cấp,V,O,22,vmod
1,24,trải_nghiệm,V,O,23,vmod
1,25,mua_sắm,V,O,24,vmod
1,26,tập_trung,V,O,21,vmod
1,28,khách_hàng,N,O,27,pob
1,30,việt_nam,Np,B-LOC,29,pob
1,3,thị_trường,N,O,2,pob
1,4,việt_nam,Np,B-LOC,3,nmod
1,6,cocomivn,Np,O,3,nmod
1,7,khởi_đầu,V,O,0,root
1,10,thương_hiệu,N,O,8,pob
1,11,quốc_tế,N,O,10,nmod
1,13,trang_sức,V,O,7,vmod
1,14,pandora,Np,O,13,dob
1,16,đồng_hồ,N,O,14,nmod
1,17,august_berg,Np,B-PER,16,nmod
1,19,olivia_burton,Np,B-PER,16,nmod
1,21,bering,Np,B-PER,16,nmod
1,23,paul_hewitt,Np,B-PER,22,conj
2,3,ngẫm,Np,B-PER,2,nmod
2,5,bạn,N,O,2,nmod
2,6,tồn_tại,V,O,0,root
2,8,bạn,N,O,7,pob
2,9,tạo,V,O,8,nmod
2,10,ra,V,O,9,adv
2,11,giá_trị,N,O,9,dob
2,13,cuộc_sống,N,O,12,pob
2,15,bạn,N,O,16,sub
2,16,bị,V,O,6,dep
2,17,đào_thải,V,O,16,vmod
2,19,bạn,N,O,22,sub
2,22,còn,V,O,18,dep
2,23,giá_trị,N,O,22,dob
2,3,ngẫm,Np,B-PER,2,nmod
2,6,người,N,O,5,pob
2,8,sự_việc,N,O,7,conj
2,16,nên,V,O,0,root
2,17,lo_lắng,V,O,16,vmod
2,18,phải,V,O,17,vmod
2,19,làm,V,O,18,vmod
2,20,nhiều,A,O,19,vmod
2,23,có,V,O,21,conj
2,24,hồi,N,O,23,dob
2,25,báo,N,O,24,nmod
3,2,photo,Np,B-PER,1,nmod
3,4,hứa_quý_long,Np,B-PER,1,nmod
16,1,ơn,N,O,6,sub
16,2,giời,V,O,1,nmod
16,3,hoàng_thượng,N,O,2,dob
16,4,trấn_thành,Np,B-PER,3,nmod
16,1,cám_ơn,V,O,0,root
16,2,hoàng_thượng,N,O,1,dob
16,5,vặn,V,O,1,vmod
16,6,đúng,A,O,5,vmod
16,8,đài,N,O,7,nmod
16,11,hiền,Np,B-PER,10,pob
16,12,hồ,Np,I-PER,11,nmod
16,13,,N,O,5,tmp
16,17,người,N,O,30,sub
16,18,xem,V,O,17,nmod
16,19,tập,N,O,18,dob
16,20,full,Ny,O,19,nmod
16,21,ơn_giời_cậu_đây,Np,O,19,nmod
16,27,httpsyoutubexwknujwktio,N,O,17,nmod
16,30,hienho,V,O,1,vmod
16,32,tranhthanh,V,O,30,vmod
16,34,ongioicaudayroi,V,O,30,vmod
21,2,hà,Np,B-PER,1,nmod
21,3,cho,V,O,0,root
21,4,biết,V,O,3,vmod
21,7,muốn,V,O,3,vmod
21,8,đợi,V,O,7,vmod
21,10,con,N,O,8,dob
21,11,lớn,V,O,10,nmod
21,12,lên,V,O,11,vmod
21,15,nói,V,O,13,conj
21,17,là,V,O,15,vmod
21,18,bố,N,O,17,dob
27,2,pink_day,Np,B-PER,1,nmod
27,6,đây,Np,O,5,nmod
27,7,là,V,O,0,root
27,10,khi,N,O,30,tmp
27,12,bạn,N,O,11,nmod
27,13,thân,A,O,11,nmod
27,14,kêu,V,O,10,nmod
27,15,diện,N,O,14,dob
27,16,đồ,N,O,15,nmod
27,17,hường,N,O,16,nmod
27,18,sương,N,O,16,nmod
27,19,sương,N,O,16,nmod
27,20,ra,V,O,14,vmod
27,21,bờ_rờ,Np,O,20,loc
27,22,đầu,N,O,21,nmod
27,23,hẽm,N,O,22,nmod
27,24,ăn,V,O,20,prp
27,25,kem,N,O,24,dob
27,27,thứ,N,O,44,sub
27,30,tuần,V,O,7,dep
27,34,mặc,V,O,7,vmod
27,35,đồ,N,O,34,dob
27,36,hường,N,O,35,nmod
27,38,đuợc,V,O,37,vmod
27,39,hưởng,V,O,38,vmod
27,40,mua,V,O,39,vmod
27,41,lớn,A,O,40,vmod
27,42,hốt,V,O,40,vmod
27,43,nhỏ,A,O,42,vmod
27,44,áp_dụng,V,O,7,dep
27,46,kem,N,O,45,pob
27,47,viên,V,O,46,nmod
27,49,thức,V,O,48,conj
27,50,uống,V,O,49,vmod
27,51,lạnh,A,O,50,vmod
27,52,nhaaa,N,O,49,dob
27,56,baskinrobbins,N,O,54,nmod
27,59,pinkday,N,O,58,nmod
27,62,ngayhongzuithiet,V,O,7,dep
28,1,idol,N,O,6,sub
28,4,bắp,N,O,2,pob
28,7,ngọc_trinh,Np,B-PER,6,dob
29,1,thèm,V,O,0,root
29,3,chuyến,N,O,1,dob
29,4,đi,V,O,3,nmod
29,5,chơi,V,O,4,vmod
29,6,xa,A,O,5,vmod
29,8,người_yêu,N,O,7,conj
29,12,ảnh,Np,O,11,nmod
29,14,bảo_huyên,Np,B-PER,11,nmod
29,17,hp,Np,O,16,nmod
37,3,kho_sim,N,O,0,root
37,6,số,N,O,3,prd
37,7,cực,A,O,6,nmod
37,8,đẹp,A,O,7,amod
37,10,hợp,V,O,6,nmod
37,11,phong_thuỷ,N,O,10,dob
37,13,hợp,V,O,10,vmod
37,14,mạng,N,O,13,dob
37,16,hợp,V,O,14,nmod
37,17,tuổi,N,O,16,dob
37,19,tiện,A,O,24,loc
37,20,đường,N,O,19,amod
37,21,kinh_doanh,V,O,20,nmod
37,23,bạn,N,O,24,sub
37,24,lựa_chọn,V,O,22,dep
37,27,thần_tài,Np,O,0,root
37,29,phú_quý,Np,B-LOC,27,nmod
37,31,tam_hoa,Np,B-PER,27,nmod
37,33,phát_lộc,Np,B-PER,27,nmod
37,35,năm,Np,B-PER,27,nmod
37,36,sinh,Np,I-PER,35,nmod
37,38,số,N,O,27,nmod
37,39,tiến,V,O,38,nmod
37,41,gánh,Np,O,27,nmod
37,43,đảo,N,O,27,nmod
37,45,ông_địa,Np,B-PER,3,nmod
39,2,sĩ_thanh,Np,B-PER,3,sub
39,3,tìm,V,O,0,root
39,7,chủ_nhân,N,O,6,nmod
39,11,vàng,N,O,10,nmod
39,12,đầu_tiên,A,O,10,nmod
39,14,chương_trình,N,O,13,pob
39,16,xé_ngay_trúng_liền,Np,O,14,nmod
39,18,hơn,A,O,20,nmod
39,20,triệu_giải,Np,O,3,loc
39,22,trúng,Np,O,20,nmod
39,24,tỷ,N,O,16,nmod
39,29,giải_thưởng,N,O,24,dob
39,30,giá_trị,N,O,29,nmod
39,31,khác,A,O,30,nmod
40,3,sách,N,O,2,nmod
40,4,quan_trọng,A,O,2,nmod
40,6,napoleon_hills,Np,B-PER,5,pob
40,9,tựa,N,O,12,sub
40,10,đề,N,O,9,nmod
40,12,là,V,O,0,root
40,14,think,Np,O,13,nmod
40,16,grow,Np,O,13,nmod
40,23,có,V,O,18,conj
40,26,đặc_biệt,A,O,24,nmod
40,29,quan_trọng,A,O,28,nmod
40,31,là,V,O,28,nmod
40,32,grow_rich,Np,O,31,vmod
40,2,phải,V,O,0,root
40,3,grow_happy,Np,B-PER,2,dob
40,5,grow_peaceful,Np,B-PER,3,nmod
40,7,but,V,O,3,nmod
40,8,grow_rich,Np,O,7,dob
40,1,tựa,N,O,7,sub
40,2,đề,V,O,1,nmod
40,4,sách,N,O,3,nmod
40,6,dale_canergie,Np,B-PER,5,pob
40,7,là,V,O,0,root
40,9,how,Np,O,8,nmod
40,10,to,A,O,8,nmod
40,11,win_friends,Np,O,10,amod
40,13,influence_people,Np,O,12,conj
40,16,cách,V,O,7,vmod
40,18,kết,V,O,17,vmod
40,19,bạn,N,O,18,dob
40,21,ảnh_hưởng,V,O,20,conj
40,22,người,N,O,21,dob
40,23,khác,A,O,22,nmod
40,2,xem,V,O,0,root
40,3,thêm,V,O,2,vmod
40,4,nhiều,A,O,5,nmod
40,6,khác,A,O,5,nmod
40,8,kênh,N,O,7,pob
40,9,youtube,Np,O,8,nmod
40,10,nguyễn_hữu_trí,Np,B-PER,8,nmod
46,3,bao_dung,Np,B-PER,1,det
46,7,việc,N,O,12,sub
46,8,bao_dung,A,O,7,nmod
46,10,lỗi_lầm,N,O,9,pob
46,12,là,V,O,1,dep
46,13,nhỏ,A,O,12,vmod
46,16,đối_phương,N,O,15,pob
46,18,bạn,N,O,21,sub
46,21,thực_sự,A,O,24,vmod
46,24,yêu,V,O,23,conj
49,1,ngày,N,O,19,tmp
49,2,bác_sĩ,N,O,3,sub
49,3,báo,V,O,1,nmod
49,4,tin,N,O,3,dob
49,7,trai,N,O,5,nmod
49,8,nhật_minh,Np,B-PER,5,nmod
49,9,mắc,V,O,4,nmod
49,10,ung_thư,N,O,9,dob
49,11,võng_mạc,N,O,10,nmod
49,14,nguyễn_thanh_quyền,Np,B-PER,13,nmod
49,17,quẫn_trí,A,O,16,nmod
49,19,có,V,O,0,root
49,20,ý_định,N,O,19,dob
49,22,kết_thúc,V,O,20,nmod
49,23,cuộc_đời,N,O,22,dob
50,1,lên,V,O,0,root
50,3,mẫu,N,O,1,dob
50,4,giày,N,O,3,nmod
50,5,gót,N,O,3,nmod
50,6,thấp,A,O,3,nmod
50,7,merly,Np,O,3,nmod
50,11,thông_tin,N,O,15,sub
50,12,sản_phẩm,N,O,11,nmod
50,15,https,V,O,1,vmod
