document,label,index,form,posTag,nerLabel,head,depLabel,keywords
0,van_hoa,8,sơn_tùng_m-tp,Np,B-PER,7,pob,"[{'entertainment': 0.045454545454545456}, {'sơn_tùng': 0.06818181818181818, 'm-tp': 0.06818181818181818, 'nguyễn_thanh_tùng': 0.06818181818181818}, {'ngày': 0.022727272727272728, 'người': 0.045454545454545456, 'hâm_mộ': 0.022727272727272728, 'đi': 0.022727272727272728, 'bất_ngờ': 0.022727272727272728, 'khác': 0.022727272727272728, 'khi': 0.022727272727272728, 'liên_tiếp': 0.022727272727272728, 'ra_mắt': 0.022727272727272728, 'nghệ_sĩ': 0.045454545454545456, 'độc_quyền': 0.022727272727272728, 'trực_thuộc': 0.022727272727272728, 'bắt_gặp': 0.022727272727272728, 'hình_ảnh': 0.022727272727272728, 'chủ_tịch': 0.022727272727272728, 'chụp': 0.022727272727272728, 'hình': 0.022727272727272728, 'cùng': 0.022727272727272728, 'được': 0.022727272727272728, 'công_bố': 0.022727272727272728, 'khoảnh_khắc': 0.022727272727272728, 'nam': 0.022727272727272728, 'ca_sĩ': 0.022727272727272728, 'xuất_hiện': 0.022727272727272728, 'bên': 0.022727272727272728, 'cạnh': 0.022727272727272728, 'đạo_diễn': 0.022727272727272728, 'khiến': 0.022727272727272728, 'nhiều': 0.022727272727272728, 'khỏi': 0.022727272727272728, 'chú_ý': 0.022727272727272728}]"
0,van_hoa,12,nguyễn_thanh_tùng,Np,B-PER,8,nmod,"[{'entertainment': 0.045454545454545456}, {'sơn_tùng': 0.06818181818181818, 'm-tp': 0.06818181818181818, 'nguyễn_thanh_tùng': 0.06818181818181818}, {'ngày': 0.022727272727272728, 'người': 0.045454545454545456, 'hâm_mộ': 0.022727272727272728, 'đi': 0.022727272727272728, 'bất_ngờ': 0.022727272727272728, 'khác': 0.022727272727272728, 'khi': 0.022727272727272728, 'liên_tiếp': 0.022727272727272728, 'ra_mắt': 0.022727272727272728, 'nghệ_sĩ': 0.045454545454545456, 'độc_quyền': 0.022727272727272728, 'trực_thuộc': 0.022727272727272728, 'bắt_gặp': 0.022727272727272728, 'hình_ảnh': 0.022727272727272728, 'chủ_tịch': 0.022727272727272728, 'chụp': 0.022727272727272728, 'hình': 0.022727272727272728, 'cùng': 0.022727272727272728, 'được': 0.022727272727272728, 'công_bố': 0.022727272727272728, 'khoảnh_khắc': 0.022727272727272728, 'nam': 0.022727272727272728, 'ca_sĩ': 0.022727272727272728, 'xuất_hiện': 0.022727272727272728, 'bên': 0.022727272727272728, 'cạnh': 0.022727272727272728, 'đạo_diễn': 0.022727272727272728, 'khiến': 0.022727272727272728, 'nhiều': 0.022727272727272728, 'khỏi': 0.022727272727272728, 'chú_ý': 0.022727272727272728}]"
1,van_hoa,18,sơn_tùng_m-tp,Np,B-PER,17,pob,"[{}, {'sơn_tùng': 0.11538461538461539, 'm-tp': 0.11538461538461539, 'happy': 0.057692307692307696}, {'là': 0.019230769230769232, 'ngôi_sao': 0.019230769230769232, 'trẻ': 0.019230769230769232, 'có': 0.038461538461538464, 'sức': 0.019230769230769232, 'ảnh_hưởng': 0.019230769230769232, 'lớn': 0.019230769230769232, 'việt': 0.019230769230769232, 'động_thái': 0.019230769230769232, 'khiến': 0.019230769230769232, 'dư_luận': 0.019230769230769232, 'chú_ý': 0.019230769230769232, 'giấu': 0.019230769230769232, 'sự': 0.019230769230769232, 'hào_hứng': 0.019230769230769232, 'khi': 0.019230769230769232, 'tóc': 0.038461538461538464, 'mới': 0.019230769230769232, 'trạng_thái': 0.019230769230769232, 'dài': 0.019230769230769232, 'viết': 0.019230769230769232, 'anh': 0.019230769230769232, 'eventually': 0.019230769230769232, 'i': 0.019230769230769232, 'got': 0.019230769230769232, 'back': 0.019230769230769232, 'to': 0.019230769230769232, 'this': 0.019230769230769232, 'hairstyle': 0.019230769230769232, 'man': 0.019230769230769232, 'monday': 0.019230769230769232, 'guys': 0.019230769230769232, 'cuối_cùng': 0.019230769230769232, 'trở_lại': 0.019230769230769232, 'kiểu': 0.019230769230769232}]"
1,van_hoa,1,happy,Np,B-PER,2,sub,"[{}, {'sơn_tùng': 0.11538461538461539, 'm-tp': 0.11538461538461539, 'happy': 0.057692307692307696}, {'là': 0.019230769230769232, 'ngôi_sao': 0.019230769230769232, 'trẻ': 0.019230769230769232, 'có': 0.038461538461538464, 'sức': 0.019230769230769232, 'ảnh_hưởng': 0.019230769230769232, 'lớn': 0.019230769230769232, 'việt': 0.019230769230769232, 'động_thái': 0.019230769230769232, 'khiến': 0.019230769230769232, 'dư_luận': 0.019230769230769232, 'chú_ý': 0.019230769230769232, 'giấu': 0.019230769230769232, 'sự': 0.019230769230769232, 'hào_hứng': 0.019230769230769232, 'khi': 0.019230769230769232, 'tóc': 0.038461538461538464, 'mới': 0.019230769230769232, 'trạng_thái': 0.019230769230769232, 'dài': 0.019230769230769232, 'viết': 0.019230769230769232, 'anh': 0.019230769230769232, 'eventually': 0.019230769230769232, 'i': 0.019230769230769232, 'got': 0.019230769230769232, 'back': 0.019230769230769232, 'to': 0.019230769230769232, 'this': 0.019230769230769232, 'hairstyle': 0.019230769230769232, 'man': 0.019230769230769232, 'monday': 0.019230769230769232, 'guys': 0.019230769230769232, 'cuối_cùng': 0.019230769230769232, 'trở_lại': 0.019230769230769232, 'kiểu': 0.019230769230769232}]"
2,doi_song,12,tùng_sơn,Np,B-PER,8,nmod,"[{}, {'tùng': 0.06, 'sơn': 0.06, 'trang_lou': 0.06}, {'là': 0.02, 'chuyện': 0.02, 'tình': 0.02, 'đáng': 0.02, 'ngưỡng_mộ': 0.02, 'cặp': 0.02, 'trang_lou': 0.02, 'người': 0.02, 'nghĩ': 0.02, 'chàng': 0.02, 'trai': 0.04, 'bên': 0.02, 'cạnh': 0.02, 'bạn': 0.04, 'năm': 0.08, 'tuổi': 0.04, 'cùng': 0.02, 'đi': 0.04, 'suốt': 0.02, 'cuộc_đời': 0.02, 'gần': 0.02, 'qua': 0.02, 'ngược_xuôi': 0.02, 'ngang_dọc': 0.02, 'giữ': 0.02, 'chặt': 0.02, 'tay': 0.02, 'nhau': 0.02, 'thêm': 0.02, 'nhiều': 0.02, 'lần': 0.02, 'đường': 0.02, 'đời': 0.02, 'dài_dằng_dặc': 0.02}]"
2,doi_song,39,trang_lou,Np,B-PER,38,pob,"[{}, {'tùng': 0.06, 'sơn': 0.06, 'trang_lou': 0.06}, {'là': 0.02, 'chuyện': 0.02, 'tình': 0.02, 'đáng': 0.02, 'ngưỡng_mộ': 0.02, 'cặp': 0.02, 'trang_lou': 0.02, 'người': 0.02, 'nghĩ': 0.02, 'chàng': 0.02, 'trai': 0.04, 'bên': 0.02, 'cạnh': 0.02, 'bạn': 0.04, 'năm': 0.08, 'tuổi': 0.04, 'cùng': 0.02, 'đi': 0.04, 'suốt': 0.02, 'cuộc_đời': 0.02, 'gần': 0.02, 'qua': 0.02, 'ngược_xuôi': 0.02, 'ngang_dọc': 0.02, 'giữ': 0.02, 'chặt': 0.02, 'tay': 0.02, 'nhau': 0.02, 'thêm': 0.02, 'nhiều': 0.02, 'lần': 0.02, 'đường': 0.02, 'đời': 0.02, 'dài_dằng_dặc': 0.02}]"
3,chinh_tri_xa_hoi,13,trần_minh_tùng,Np,B-PER,12,nmod,"[{'bộ': 0.08333333333333333, 'giáo_dục': 0.08333333333333333, 'và': 0.08333333333333333, 'đào_tạo': 0.08333333333333333}, {'trần_minh_tùng': 0.125}, {'khoá_luyện': 0.041666666666666664, 'thi': 0.041666666666666664, 'tốt_nghiệp': 0.041666666666666664, 'thpt': 0.041666666666666664, 'đại_học': 0.041666666666666664, 'môn': 0.041666666666666664, 'ngữ_văn': 0.041666666666666664, 'năm': 0.041666666666666664, 'thầy_giáo': 0.041666666666666664, 'bám': 0.041666666666666664, 'sát': 0.041666666666666664, 'chương_trình': 0.041666666666666664, 'ban_hành': 0.041666666666666664}]"
4,the_thao,12,quang_hải,Np,B-PER,11,pob,"[{'tp': 0.058823529411764705, 'hcm': 0.058823529411764705, 'clb': 0.058823529411764705, 'hà_nội': 0.058823529411764705}, {'quang_hải': 0.08823529411764706, 'huỳnh_anh': 0.08823529411764706}, {'giống': 0.029411764705882353, 'trận': 0.029411764705882353, 'đấu': 0.029411764705882353, 'trước_đây': 0.029411764705882353, 'bạn': 0.058823529411764705, 'gái': 0.029411764705882353, 'tỏ': 0.058823529411764705, 'e_thẹn': 0.029411764705882353, 'ống_kính': 0.029411764705882353, 'phóng_viên': 0.029411764705882353, 'thân_mật': 0.029411764705882353, 'bố_mẹ': 0.029411764705882353, 'trai': 0.029411764705882353, 'cùng': 0.029411764705882353, 'bay': 0.029411764705882353, 'cổ_vũ': 0.029411764705882353, 'tiền_vệ': 0.029411764705882353, 'đông_anh': 0.029411764705882353}]"
4,the_thao,3,huỳnh_anh,Np,B-PER,5,sub,"[{'tp': 0.058823529411764705, 'hcm': 0.058823529411764705, 'clb': 0.058823529411764705, 'hà_nội': 0.058823529411764705}, {'quang_hải': 0.08823529411764706, 'huỳnh_anh': 0.08823529411764706}, {'giống': 0.029411764705882353, 'trận': 0.029411764705882353, 'đấu': 0.029411764705882353, 'trước_đây': 0.029411764705882353, 'bạn': 0.058823529411764705, 'gái': 0.029411764705882353, 'tỏ': 0.058823529411764705, 'e_thẹn': 0.029411764705882353, 'ống_kính': 0.029411764705882353, 'phóng_viên': 0.029411764705882353, 'thân_mật': 0.029411764705882353, 'bố_mẹ': 0.029411764705882353, 'trai': 0.029411764705882353, 'cùng': 0.029411764705882353, 'bay': 0.029411764705882353, 'cổ_vũ': 0.029411764705882353, 'tiền_vệ': 0.029411764705882353, 'đông_anh': 0.029411764705882353}]"
5,van_hoa,10,lương_mạnh_hải,Np,B-PER,9,nmod,"[{}, {'lương_mạnh_hải': 0.07894736842105263, 'thanh_hằng': 0.07894736842105263, 'vũ_ngọc_đãng': 0.07894736842105263, 'minh_tú': 0.07894736842105263, 'cao_thiên_trang': 0.07894736842105263, 'tăng_thanh_hà': 0.07894736842105263}, {'tối': 0.02631578947368421, 'dự_án': 0.02631578947368421, 'phim': 0.02631578947368421, 'hoa_hậu': 0.02631578947368421, 'giang_hồ': 0.02631578947368421, 'đạo_diễn': 0.02631578947368421, 'ra_mắt': 0.02631578947368421, 'có': 0.02631578947368421, 'sự': 0.07894736842105263, 'tham_dự': 0.02631578947368421, 'nhiều': 0.02631578947368421, 'nghệ_sĩ': 0.02631578947368421, 'đặc_biệt': 0.02631578947368421, 'xuất_hiện': 0.02631578947368421, 'thảm_đỏ': 0.02631578947368421, 'thu_hút': 0.02631578947368421, 'quan_tâm': 0.02631578947368421, 'báo_giới': 0.02631578947368421}]"
