document,label,index,form,posTag,nerLabel,head,depLabel
0,phap_luat,1,Người,Nc,O,3,sub
0,phap_luat,2,thanh_niên,N,O,1,nmod
0,phap_luat,3,có_mặt,V,O,0,root
0,phap_luat,4,ở,E,O,3,loc
0,phap_luat,5,bưu_điện,N,O,4,pob
0,phap_luat,6,trước,E,O,3,tmp
0,phap_luat,7,19h15,N,O,6,pob
0,phap_luat,8,Theo,E,O,3,vmod
0,phap_luat,9,đơn,N,O,8,pob
0,phap_luat,10,trình_bày,V,O,9,nmod
0,phap_luat,11,của,E,O,9,nmod
0,phap_luat,12,luật_sư,N,O,11,pob
0,phap_luat,13,",",CH,O,3,punct
0,phap_luat,14,các,L,O,15,det
0,phap_luat,15,bản_án,N,O,23,sub
0,phap_luat,16,sơ_thẩm,V,O,15,nmod
0,phap_luat,17,và,Cc,O,16,coord
0,phap_luat,18,phúc_thẩm,V,O,17,conj
0,phap_luat,19,",",CH,O,3,punct
0,phap_luat,20,quyết_định,V,O,3,vmod
0,phap_luat,21,giám_đốc_thẩm,N,O,20,vmod
0,phap_luat,22,đều,R,O,23,adv
0,phap_luat,23,thể_hiện,V,O,3,dep
0,phap_luat,24,khoảng,N,O,26,nmod
0,phap_luat,25,19h13,M,O,26,det
0,phap_luat,26,ngày,N,O,23,tmp
0,phap_luat,27,13-1-2008,M,O,26,det
0,phap_luat,28,Hải,Np,B-PER,29,sub
0,phap_luat,29,gọi,V,O,23,vmod
0,phap_luat,30,điện_thoại,N,O,29,dob
0,phap_luat,31,ở,E,O,30,loc
0,phap_luat,32,tiệm,N,O,31,pob
0,phap_luat,33,cầm_đồ,N,O,32,nmod
0,phap_luat,34,",",CH,O,23,punct
0,phap_luat,35,sau,E,O,38,tmp
0,phap_luat,36,đó,P,O,35,pob
0,phap_luat,37,Hải,Np,B-PER,38,sub
0,phap_luat,38,ghé,V,O,23,vmod
0,phap_luat,39,quán,N,O,38,loc
0,phap_luat,40,cà_phê,N,O,39,nmod
0,phap_luat,41,",",CH,O,23,punct
0,phap_luat,42,trả,V,O,23,vmod
0,phap_luat,43,tiền,N,O,42,dob
0,phap_luat,44,nợ,N,O,43,nmod
0,phap_luat,45,cho,E,O,42,iob
0,phap_luat,46,bạn,N,O,45,pob
0,phap_luat,47,",",CH,O,23,punct
0,phap_luat,48,rồi,C,O,23,coord
0,phap_luat,49,chạy,V,O,48,conj
0,phap_luat,50,về,E,O,49,dir
0,phap_luat,51,bưu_điện,N,O,50,pob
0,phap_luat,52,Cầu,Np,B-LOC,51,nmod
0,phap_luat,53,Voi,Np,I-LOC,51,nmod
0,phap_luat,54,và,Cc,O,23,coord
0,phap_luat,55,có_mặt,V,O,54,conj
0,phap_luat,56,ở,E,O,55,loc
0,phap_luat,57,đây,P,O,56,pob
0,phap_luat,58,khoảng,N,O,55,tmp
0,phap_luat,59,19h3,M,O,58,nmod
0,phap_luat,60,0,M,O,59,det
0,phap_luat,61,.,CH,O,3,punct
0,phap_luat,1,Sau,E,O,5,tmp
0,phap_luat,2,đó,P,O,1,pob
0,phap_luat,3,",",CH,O,5,punct
0,phap_luat,4,Hải,Np,B-PER,5,sub
0,phap_luat,5,ra_tay,V,O,0,root
0,phap_luat,6,giết,V,O,5,vmod
0,phap_luat,7,chết,V,O,6,vmod
0,phap_luat,8,2,M,O,9,det
0,phap_luat,9,nạn_nhân,N,O,6,dob
0,phap_luat,10,.,CH,O,5,punct
0,phap_luat,1,Bản_án,N,O,0,root
0,phap_luat,2,thể_hiện,V,O,1,nmod
0,phap_luat,3,có,V,O,2,vmod
0,phap_luat,4,nhiều,A,O,5,nmod
0,phap_luat,5,nhân_chứng,N,O,3,dob
0,phap_luat,6,nhìn,V,O,5,nmod
0,phap_luat,7,thấy,V,O,6,vmod
0,phap_luat,8,một,M,O,9,det
0,phap_luat,9,nam,N,O,11,sub
0,phap_luat,10,thanh_niên,N,O,9,nmod
0,phap_luat,11,có_mặt,V,O,5,nmod
0,phap_luat,12,tại,E,O,11,loc
0,phap_luat,13,bưu_điện,N,O,12,pob
0,phap_luat,14,vào_khoảng,X,O,13,x
0,phap_luat,15,thời_gian,N,O,13,nmod
0,phap_luat,16,này,P,O,15,det
0,phap_luat,17,",",CH,O,21,punct
0,phap_luat,18,và,Cc,O,14,pmod
0,phap_luat,19,trong,E,O,24,tmp
0,phap_luat,20,lời,N,O,19,pob
0,phap_luat,21,khai,V,O,20,nmod
0,phap_luat,22,Hải,Np,B-PER,20,nmod
0,phap_luat,23,cũng,R,O,24,adv
0,phap_luat,24,thừa_nhận,V,O,18,conj
0,phap_luat,25,việc,N,O,27,sub
0,phap_luat,26,mình,P,O,25,nmod
0,phap_luat,27,có_mặt,V,O,24,vmod
0,phap_luat,28,ở,E,O,27,loc
0,phap_luat,29,bưu_điện,N,O,28,pob
0,phap_luat,30,và,Cc,O,27,coord
0,phap_luat,31,giết,V,O,30,conj
0,phap_luat,32,2,M,O,33,det
0,phap_luat,33,nạn_nhân,N,O,31,dob
