document,label,index,form,posTag,nerLabel,head,depLabel
0,phap_luat,28,hải,Np,B-PER,29,sub
0,phap_luat,37,hải,Np,B-PER,38,sub
0,phap_luat,4,hải,Np,B-PER,5,sub
0,phap_luat,22,hải,Np,B-PER,20,nmod
0,phap_luat,2,trần_hồng_phong,Np,B-PER,1,nmod
0,phap_luat,11,hồ_văn_bình,Np,B-PER,10,nmod
0,phap_luat,8,hồ_văn_bình,Np,B-PER,7,nmod
0,phap_luat,42,hai,Np,B-PER,41,nmod
0,phap_luat,6,vân,Np,B-PER,7,sub
0,phap_luat,14,hồng,Np,B-PER,15,sub
0,phap_luat,4,vân,Np,B-PER,3,dob
0,phap_luat,4,lê_thành_trung,Np,B-PER,3,nmod
0,phap_luat,7,bình,Np,B-PER,6,nmod
0,phap_luat,2,bình,Np,B-PER,1,nmod
0,phap_luat,16,hai,Np,B-PER,15,nmod
0,phap_luat,8,hai,Np,B-PER,7,nmod
0,phap_luat,6,hai,Np,B-PER,5,nmod
0,phap_luat,9,hai,Np,B-PER,8,nmod
0,phap_luat,19,hồng,Np,B-PER,24,sub
0,phap_luat,28,vân,Np,B-PER,29,sub
0,phap_luat,9,bình,Np,B-PER,8,nmod
0,phap_luat,17,hồ_duy_hải,Np,B-PER,19,sub
0,phap_luat,7,hồ_văn_bình,Np,B-PER,6,nmod
0,phap_luat,13,bình,Np,B-PER,12,nmod
0,phap_luat,26,hồng,Np,B-PER,25,pob
0,phap_luat,41,hồng,Np,B-PER,40,amod
1,the_gioi,4,biden,Np,B-PER,3,nmod
1,the_gioi,9,donald_trump,Np,B-PER,7,nmod
1,the_gioi,5,biden,Np,B-PER,4,nmod
1,the_gioi,20,trump,Np,B-PER,19,nmod
1,the_gioi,12,biden,Np,B-PER,11,nmod
1,the_gioi,15,trump,Np,B-PER,14,nmod
1,the_gioi,29,biden,Np,B-PER,28,nmod
1,the_gioi,33,trump,Np,B-PER,32,nmod
1,the_gioi,29,trump,Np,B-PER,28,nmod
1,the_gioi,8,trump,Np,B-PER,7,nmod
2,van_hoa,18,sơn_tùng_m-tp,Np,B-PER,17,pob
2,van_hoa,1,sơn_tùng_m-tp,Nc,B-PER,4,sub
2,van_hoa,1,happy,Np,B-PER,2,sub
3,doi_song,12,tùng_sơn,Np,B-PER,8,nmod
3,doi_song,39,trang_lou,Np,B-PER,38,pob
4,van_hoa,10,lương_mạnh_hải,Np,B-PER,9,nmod
4,van_hoa,19,thanh_hằng,Np,B-PER,17,nmod
4,van_hoa,21,vũ_ngọc_đãng,Np,B-PER,19,nmod
4,van_hoa,23,minh_tú,Np,B-PER,19,nmod
4,van_hoa,25,cao_thiên_trang,Np,B-PER,19,nmod
4,van_hoa,6,tăng_thanh_hà,Np,B-PER,5,pob
5,van_hoa,5,ngọc_trinh,Np,B-PER,8,sub
5,van_hoa,7,vũ_khắc_tiệp,Np,B-PER,6,conj
6,the_gioi,2,trump,Np,B-PER,1,nmod
7,chinh_tri_xa_hoi,13,trần_minh_tùng,Np,B-PER,12,nmod
8,van_hoa,8,sơn_tùng_m-tp,Np,B-PER,7,pob
8,van_hoa,12,nguyễn_thanh_tùng,Np,B-PER,8,nmod
9,the_thao,12,quang_hải,Np,B-PER,11,pob
9,the_thao,3,huỳnh_anh,Np,B-PER,5,sub
