form,label,counts
trump,the_gioi,74
ngọc,doi_song,58
phương,doi_song,39
hồ_duy_hải,phap_luat,24
joe_biden,the_gioi,22
diệu_linh,suc_khoe,21
mai_phương,doi_song,20
hải,phap_luat,19
phanxicô,the_gioi,19
lynk_lee,van_hoa,18
nguyễn_hoà_bình,phap_luat,17
hanna,phap_luat,17
michael,phap_luat,16
khởi_my,doi_song,16
jack,van_hoa,15
nguyễn_an,chinh_tri_xa_hoi,15
lê_đình_kình,phap_luat,15
nguyễn_trãi,vi_tinh,15
lý_nam_đế,vi_tinh,15
chi_minh_city,vi_tinh,15
tùng,doi_song,14
kelvin_khánh,doi_song,13
asia_times,the_gioi,12
mai_phương,phap_luat,12
james,suc_khoe,12
y_tý,chinh_tri_xa_hoi,12
obama,the_gioi,12
toi,doi_song,12
biden,the_gioi,11
đoàn,chinh_tri_xa_hoi,11
jack,vi_tinh,11
cường,chinh_tri_xa_hoi,11
viên_cung_di,the_gioi,11
muội_muội,suc_khoe,10
danh,doi_song,10
mai_phương,van_hoa,10
thuc,doi_song,10
minh_long,suc_khoe,10
phùng_ngọc_huy,phap_luat,10
chíp,suc_khoe,10
tuấn,phap_luat,10
lavie,doi_song,10
tuân,phap_luat,9
pompeo,the_gioi,9
lưu_ý,vi_tinh,9
floyd,the_gioi,9
đông_nhi,suc_khoe,9
bannon,the_gioi,9
an,doi_song,9
trấn_thành,van_hoa,9
mi,doi_song,8
tuấn,suc_khoe,8
lighthizer,the_gioi,8
viber,chinh_tri_xa_hoi,8
mến,doi_song,8
sơn_tùng,van_hoa,8
đặng_văn_ngữ,chinh_tri_xa_hoi,8
lê_giang,van_hoa,8
trang,vi_tinh,8
lương,chinh_tri_xa_hoi,8
gunner,vi_tinh,7
êlisê,doi_song,7
tuỳ,vi_tinh,7
du,chinh_tri_xa_hoi,7
l,phap_luat,7
diệu_linh,van_hoa,7
chân_nhi,vi_tinh,7
lê_anh_hùng,phap_luat,7
diệu_anh,doi_song,7
đại_hiệp,vi_tinh,7
willian,the_thao,7
hải,doi_song,7
hương_mi,chinh_tri_xa_hoi,7
tommy_hilfiger,vi_tinh,6
đay,doi_song,6
borrell,the_gioi,6
chi_tiết,vi_tinh,6
tập_cận_bình,the_gioi,6
vie_network,vi_tinh,6
duoi,doi_song,6
đàm_vĩnh_hưng,vi_tinh,6
kình,phap_luat,6
freelook,vi_tinh,6
tiểu_đường,chinh_tri_xa_hoi,6
bình,phap_luat,6
sơn_tùng_m-tp,doi_song,6
mike_pompeo,the_gioi,6
lý,doi_song,6
malik,van_hoa,6
hồ_chí_minh,chinh_tri_xa_hoi,6
isaac,van_hoa,6
hack_não,chinh_tri_xa_hoi,6
molto,chinh_tri_xa_hoi,6
mazzola,chinh_tri_xa_hoi,6
ferrari,vi_tinh,6
linh,doi_song,6
trump,vi_tinh,6
khởi_my,van_hoa,6
donald_trump,the_gioi,6
trắng_hoa_tuyết,vi_tinh,5
trương_trọng_nghĩa,chinh_tri_xa_hoi,5
thanh_tùng,van_hoa,5
the,doi_song,5
phương,suc_khoe,5
minh_tú,chinh_tri_xa_hoi,5
long_bien,vi_tinh,5
thiên_an,chinh_tri_xa_hoi,5
thành,doi_song,5
loan,doi_song,5
chi,doi_song,5
tiểu_lý,doi_song,5
tron,doi_song,5
giá,vi_tinh,5
bi,doi_song,5
lavie,phap_luat,5
a,doi_song,5
lacoste,vi_tinh,5
lynk_lee,doi_song,5
me,doi_song,5
đức_thánh_cha,chinh_tri_xa_hoi,5
luc,doi_song,5
totoshop,vi_tinh,5
nghe,doi_song,5
